variable,description,detail,allowedSuffix,measureUnit,allowedValues,valueInfo,provenance
id,Participant ID,"The participant ID is specific to this study, and is auto-assigned by REDCap during completion of the eligibility questionnaire.",NA,Integer,"[150000,159999]",One ID per participant (eligible and ineligible),automatic
consent_s1_r1_e1,consent: Participant consent status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""consent_yn""==""y"" (indicating participant consented), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
rwe-eeg_s1_r1_e1,psychopy: Darwin reading task status,"When data is transferred from raw to checked, value of 1 is assigned if ""rwe-eeg_s1_r1_e1"" file exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
read-aloud-val-eeg_s1_r1_e1,psychopy: Valence reading task status,"When data is transferred from raw to checked, value of 1 is assigned if ""read-aloud-val-eeg_s1_r1_e1"" file exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
flanker-basic-v5_s1_r1_e1,psychopy: Flanker task status,"When data is transferred from raw to checked, value of 1 is assigned if ""flanker-basic_v5"" file exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
audioData_s1_r1_e1,audio: Status of audio data,"When hallMonitor is run, value of 1 is assigned if data already exists in checked, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
bvData_s1_r1_e1,eeg: Status of EEG data,"When data is transferred from raw to checked, value of 1 is assigned if data exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
digiData_s1_r1_e1,digi: Status of digi data,"When data is transferred from raw to checked, value of 1 is assigned if data exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
demo_c_s1_r1_e1,redcap_data: Demographics questionnaire (version c) status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""demo_c_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
covid_c_s1_r1_e1,redcap_data: COVID questionnaire (version c) status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""covid_c_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
scaared_b_s1_r1_e1,redcap_data: SCAARED questionnaire (version b) status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""scaared_b_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
bfne_b_s1_r1_e1,redcap_data: BFNE questionnaire (version b) status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""bfne_b_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
phq8_s1_r1_e1,redcap_data: PHQ8 questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""phq8_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
pints_s1_r1_e1,redcap_data: PINTS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""pints_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
rvq_s1_r1_e1,redcap_data: RVQ questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""rvq_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
edshvs_s1_r1_e1,redcap_data: EDS/HVS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""edshvs_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
masi_s1_r1_e1,redcap_data: MASI questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""masi_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
stai5_s1_r1_e1,redcap_data: STAI5 questionnaire status (e1),"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""stai5_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0. ",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
bmis_s1_r1_e1,redcap_data: BMIS questionnaire status (e1),"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""bmis_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
stai5_s1_r1_e2,redcap_data: STAI5 questionnaire status (e2),"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""stai5_s1_r1_e2_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0. ",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
bmis_s1_r1_e2,redcap_data: BMIS questionnaire status (e2),"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""bmis_s1_r1_e2_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
stai5_s1_r1_e3,redcap_data: STAI5 questionnaire status (e3),"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""stai5_s1_r1_e3_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0. ",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
stai5_s1_r1_e4,redcap_data: STAI5 questionnaire status (e4),"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""stai5_s1_r1_e4_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0. ",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
posttaskd_s1_r1_e1,redcap_data: PostTaskD questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""postTaskD_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
srq_s1_r1_e1,redcap_data: SRQ questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""srq_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
ierq_s1_r1_e1,redcap_data: IERQ questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""ierq_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
epepq15_s1_r1_e1,redcap_data: EPEPQ15 questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""epepq15_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
aq10_s1_r1_e1,redcap_data: AQ10 questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""aq10_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
adexi_b_s1_r1_e1,redcap_data: ADEXI questionnaire (version b) status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""adexi_b_s1_r1_e1_timestamp""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-hallMonitor
covid_c_scrdTotal_s1_r1_e1,redcap_data: COVID (version c) score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""covid_c_scrdTotal_s1_r1_e1""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments
scaared_b_scrdTotal_s1_r1_e1,redcap_scrd: SCAARED (version b) total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""scaared_b_scrdTotal_s1_r1_e1""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments
scaared_b_scrdPaSo_s1_r1_e1,redcap_scrd: SCAARED (version b) panic disorder score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""scaared_b_scrdPaSo_s1_r1_e1""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments
