variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
passage,darwin readAloud task: passage identifier,"chapter number, plus first several words",s1_r1_e1,Char,see materials,NA,NA,1,NA,manual-ErrorCoding
passageText,darwin readAloud task: passage,passage content for identifying passage,s1_r1_e1,Char,see materials,NA,NA,1,NA,direct-psychopy
firstchallengeQuestion,darwin readAloud task: challenge question,challenge question,s1_r1_e1,Char,see materials,NA,NA,1,NA,direct-psychopy
firstchoiceA,darwin readAloud task: challenge question response option A,challenge question possible response,s1_r1_e1,Char,see materials,NA,NA,1,NA,direct-psychopy
firstchoiceB,darwin readAloud task: challenge question response option B,challenge question possible response,s1_r1_e1,Char,see materials,NA,NA,1,NA,direct-psychopy
firstchoiceC,darwin readAloud task: challenge question response option C,challenge question possible response,s1_r1_e1,Char,see materials,NA,NA,1,NA,direct-psychopy
firstchoiceD,darwin readAloud task: challenge question response option D,challenge question possible response,s1_r1_e1,Char,see materials,NA,NA,1,NA,direct-psychopy
firstcorrectAnswer,darwin readAloud task: correct response option for challenge question,challenge question correct response option,s1_r1_e1,Char,A | B | C | D,NA,NA,1,NA,direct-psychopy
challengeResponse1.keys,darwin readAloud task: participant response selected,actual participant challenge question response selected,s1_r1_e1,Char,A | B | C | D,NA,NA,1,NA,direct-psychopy
challengeResponse1.corr,darwin readAloud task: challenge question accuracy,indication of whether participant correctly answered challenge question,s1_r1_e1,Logical,"0, 1","0, error | 1, correct response",NA,1,NA,direct-psychopy
challengeACC,"darwin readAloud task, subject-level: average challenge question accuracy",average of participant's accuracy on challenge questions,s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-preprocDarwin
groupAvg,"darwin readAloud task, passage-level: cross-participant accuracy",overview of cross-participant accuracy for each reading passage,s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-preprocDarwin
Mispronunciation,darwin readAloud task: mispronunciation disfluency,indication of whether syllable was disfluent or not (see protocol for details of error category),s1_r1_e1,Logical,"0, 1","0, error | 1, no error",NA,1,NA,manual-ErrorCoding
Word Stress Error,darwin readAloud task: word stress error disfluency,indication of whether syllable was disfluent or not (see protocol for details of error category),s1_r1_e1,Logical,"0, 1","0, error | 1, no error",NA,1,NA,manual-ErrorCoding
Duplication,darwin readAloud task: duplication disfluency,indication of whether syllable was disfluent or not (see protocol for details of error category),s1_r1_e1,Logical,"0, 1","0, error | 1, no error",NA,1,NA,manual-ErrorCoding
Insertion/Filled Pause,darwin readAloud task: insertion/filled pause disfluency,indication of whether syllable was disfluent or not (see protocol for details of error category),s1_r1_e1,Logical,"0, 1","0, error | 1, no error",NA,1,NA,manual-ErrorCoding
Hesitation,darwin readAloud task: hesitation disfluency,indication of whether syllable was disfluent or not (see protocol for details of error category),s1_r1_e1,Logical,"0, 1","0, error | 1, no error",NA,1,NA,manual-ErrorCoding
Elongation,darwin readAloud task: elongation disfluency,indication of whether syllable was disfluent or not (see protocol for details of error category),s1_r1_e1,Logical,"0, 1","0, error | 1, no error",NA,1,NA,manual-ErrorCoding
Omission,darwin readAloud task: omission disfluency,indication of whether syllable was disfluent or not (see protocol for details of error category),s1_r1_e1,Logical,"0, 1","0, error | 1, no error",NA,1,NA,manual-ErrorCoding
Flipped Production,darwin readAloud task: flipped production disfluency,indication of whether syllable was disfluent or not (see protocol for details of error category),s1_r1_e1,Logical,"0, 1","0, error | 1, no error",NA,1,NA,manual-ErrorCoding
Correction,darwin readAloud task: error was corrected,"indication, for a disfluent syllable, of whether the participant repeated themselves in an attempt (successful or not) to correct a prior error",s1_r1_e1,Logical,"0, 1","0, no correction | 1, correction was made",NA,1,NA,manual-ErrorCoding
Last Pre-Correction Syllable,darwin readAloud task: last syllable before a correction,"indication, when a participant has revised their production to make a correction, of the last syllable produced before the regression",s1_r1_e1,Logical,"0, 1","0, not last pre-correction syllable | 1, last pre-correction syllable",NA,1,NA,manual-ErrorCoding
Actual Production,darwin readAloud task: actual words/nonwords produced,"indication, for disfluent word(s) of the word or nonword actually produced",s1_r1_e1,Char,text,NA,NA,1,NA,manual-ErrorCoding
Actual Correction Produced,darwin readAloud task: correction produced,"indication, for attempted corrections, of the word(s) actually produced",s1_r1_e1,Char,text,NA,NA,1,NA,manual-ErrorCoding
errorType,darwin readAloud task: types of coded errors,the various error types that are coded for in the ErrorCoding protocol,s1_r1_e1,Char,"mispron, wordstress, duplicate, insertion, hesitation, elongation, omission, flipped",see protocol,NA,1,NA,code-syllMatch
errorSyll,darwin readAloud task: identity of a disfluent syllable,identity of a syllable identified as disfluent in ErrorCoding,s1_r1_e1,Char,see materials,NA,NA,1,NA,code-syllMatch
matchSyll,darwin readAloud task: identity of a correctly-produced syllable (matched to an errorSyll),identity of a correct syllable matched to a specific errorSyll,s1_r1_e1,Char,see materials,NA,NA,1,NA,code-syllMatch
marker,darwin readAloud task: coded error/correct syllables,markers for specific syllables in a given participant's production,s1_r1_e1,Integer,"110, 111","110, mispronunciation error | 111, mispron match correct",NA,1,NA,code-syllMatch
syllable,darwin readAloud task: identities of error/correct syllables,"either an errorSyll or matchSyll, in optimized format for timestamp coding",s1_r1_e1,Char,see materials,NA,NA,1,NA,code-syllMatch
totalMispron,darwin readAloud task: total number of mispronunciations made,total count of mispronunciation errors before exclusion for matching to correct syllables,s1_r1_e1,Integer,"[0,inf]",NA,NA,1,NA,code-syllMatch
